,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
0,V99790,171,0.005,0.04,4.572,0.518,0.069,0.04,347,49,1387.0,10,4,0.009000000000000001
1,V99791,161,0.005,0.035,4.58,0.5589999999999999,0.07,0.040999999999999995,361,45,1386.0,10,4,0.006999999999999999
2,V99789,170,0.005,0.042,4.59,0.46799999999999997,0.044000000000000004,0.036000000000000004,355,52,1368.0,9,4,0.013000000000000001
3,V99787,159,0.005,0.034,4.53,0.737,0.077,0.04,313,44,1401.0,9,4,0.01
4,V99782,162,0.005,0.042,4.56,0.44299999999999995,0.055999999999999994,0.037000000000000005,360,55,1346.0,10,5,0.013000000000000001
5,V99781,165,0.005,0.035,4.52,0.48,0.055999999999999994,0.037000000000000005,323,49,1407.0,9,4,0.01
6,V99779,167,0.005,0.04,4.56,0.63,0.069,0.037000000000000005,349,51,1395.0,10,5,0.009000000000000001
7,V99778,163,0.005,0.04,4.56,0.547,0.057,0.036000000000000004,346,78,1373.0,9,5,0.012
8,V99777,164,0.005,0.05,4.5,0.397,0.049,0.037000000000000005,373,72,1386.0,11,7,0.004
9,V99776,162,0.005,0.039,4.52,0.622,0.069,0.04,344,56,1357.0,9,5,0.006999999999999999
10,V99775,179,0.005,0.038,4.55,0.6829999999999999,0.067,0.04,337,53,1436.0,10,5,0.005
11,V99774,172,0.005,0.038,4.54,0.43,0.053,0.038,313,57,1339.0,9,6,0.006999999999999999
12,V99773,173,0.005,0.037000000000000005,4.52,0.39,0.046,0.035,320,50,1390.0,8,5,0.012
13,V99772,175,0.005,0.039,4.54,0.46,0.054000000000000006,0.035,318,54,1401.0,9,5,0.013999999999999999
14,V99771,178,0.005,0.038,4.52,0.61,0.055999999999999994,0.036000000000000004,347,52,1429.0,10,5,0.011000000000000001
15,V99770,175,0.005,0.036000000000000004,4.53,0.47,0.057999999999999996,0.035,410,62,1364.0,11,9,0.005
16,V99769,174,0.005,0.038,4.54,0.44,0.055999999999999994,0.034,313,56,1330.0,9,6,0.008
17,V99768,166,0.005,0.036000000000000004,4.51,0.55,0.064,0.034,328,50,1369.0,9,5,0.009000000000000001
18,V99767,165,0.005,0.033,4.52,0.42,0.052000000000000005,0.036000000000000004,313,50,1390.0,8,5,0.009000000000000001
19,V99766,165,0.005,0.032,4.51,0.32,0.04,0.037000000000000005,292,52,1385.0,8,5,0.01
20,V99765,166,0.005,0.034,4.56,0.38,0.049,0.038,315,45,1406.0,9,5,0.009000000000000001
21,V99763,163,0.005,0.036000000000000004,4.52,0.7,0.075,0.039,309,49,1396.0,9,5,0.008
22,V99762,163,0.005,0.047,4.55,0.767,0.068,0.039,377,54,1435.0,11,5,0.008
23,V99761,160,0.005,0.04,4.52,0.591,0.064,0.039,345,58,1423.0,9,6,0.01
24,V99759,166,0.005,0.034,4.55,0.363,0.05,0.040999999999999995,323,46,1396.0,9,6,0.01
25,V99758,167,0.005,0.038,4.55,0.381,0.051,0.04,334,50,1381.0,9,5,0.008
26,V99757,168,0.005,0.037000000000000005,4.565,0.7559999999999999,0.07400000000000001,0.040999999999999995,333,51,1398.0,9,5,0.009000000000000001
27,V99756,173,0.005,0.042,4.55,0.835,0.081,0.04,354,50,1389.0,10,6,0.006999999999999999
28,V99755,165,0.005,0.044000000000000004,4.59,0.8540000000000001,0.08199999999999999,0.039,365,53,1385.0,9,6,0.006
29,V99753,166,0.005,0.040999999999999995,4.59,0.385,0.045,0.037000000000000005,349,49,1389.0,10,6,0.012
30,V99752,160,0.005,0.043,4.56,0.32299999999999995,0.046,0.036000000000000004,359,52,1396.0,9,6,0.01
31,V99751,173,0.005,0.039,4.54,0.44299999999999995,0.054000000000000006,0.037000000000000005,339,49,1392.0,9,5,0.008
32,V99750,165,0.005,0.03,4.55,1.121,0.095,0.04,299,42,1405.0,11,5,0.008
33,V99749,173,0.005,0.031,4.55,0.8,0.077,0.04,499,46,1394.0,10,5,0.006999999999999999
34,V99748,163,0.005,0.037000000000000005,4.55,0.444,0.054000000000000006,0.038,325,49,1353.0,9,5,0.011000000000000001
35,V99746,162,0.005,0.032,4.68,0.91,0.087,0.04,306,43,1388.0,8,5,0.009000000000000001
36,V99745,163,0.005,0.039,4.61,0.68,0.07,0.038,339,49,1401.0,9,5,0.006
37,V99744,166,0.005,0.038,4.62,0.49,0.055,0.04,415,50,1435.0,12,7,0.006999999999999999
38,V99743,159,0.005,0.036000000000000004,4.64,0.49,0.061,0.040999999999999995,318,45,1402.0,8,5,0.009000000000000001
39,V99742,165,0.005,0.034,4.66,0.58,0.063,0.038,407,41,1388.3496882179193,10,5,0.006
40,V99741,165,0.005,0.04,4.6,0.47,0.057999999999999996,0.039,391,51,1400.0,10,7,0.011000000000000001
41,V99740,168,0.005,0.048,4.53,0.72,0.069,0.036000000000000004,387,54,1391.0,10,7,0.005
42,V99739,170,0.005,0.036000000000000004,4.64,0.56,0.064,0.04,331,48,1366.0,10,5,0.005
43,V99738,172,0.005,0.042,4.58,0.53,0.061,0.038,357,51,1388.3496882179193,10,7,0.011000000000000001
44,V99737,166,0.005,0.049,4.61,0.52,0.06,0.037000000000000005,471,113,1400.0,13,9,0.006999999999999999
45,V99736,160,0.005,0.035,4.64,0.55,0.062,0.040999999999999995,363,51,1388.3496882179193,11,5,0.006
46,V99735,168,0.005,0.036000000000000004,4.63,0.61,0.062,0.039,333,46,1388.3496882179193,10,6,0.008
47,V99734,160,0.005,0.035,4.65,0.52,0.061,0.039,320,47,1436.0,8,5,0.013000000000000001
48,V99733,169,0.005,0.044000000000000004,4.56,0.6,0.062,0.038,360,51,1415.0,10,6,0.006999999999999999
49,V99732,168,0.005,0.046,4.63,0.61,0.063,0.036000000000000004,375,52,1437.0,11,7,0.01
50,V99730,161,0.005,0.035,4.57,0.5760000000000001,0.07,0.04,346,48,1426.0,10,5,0.006
51,V99729,170,0.005,0.047,4.58,0.467,0.054000000000000006,0.035,361,52,1409.0,10,7,0.013999999999999999
52,V99728,163,0.005,0.040999999999999995,4.55,0.478,0.064,0.039,354,53,1358.0,12,7,0.006
53,V99727,164,0.005,0.034,4.58,0.524,0.065,0.040999999999999995,320,53,1392.0,9,5,0.006999999999999999
54,V99726,177,0.005,0.037000000000000005,4.57,0.8,0.07,0.039,332,46,1399.0,9,6,0.009000000000000001
55,V99725,160,0.005,0.045,4.54,0.69,0.065,0.033,511,44,1401.0,15,10,0.006
56,V99724,159,0.005,0.032,4.6,0.8490000000000001,0.08,0.039,303,44,1362.0,9,4,0.005
57,V99723,170,0.005,0.035,4.59,0.574,0.067,0.040999999999999995,324,46,1409.0,9,6,0.006999999999999999
58,V99721,158,0.005,0.04,4.55,1.1,0.1,0.039,344,48,1461.0,10,5,0.009000000000000001
59,V99720,161,0.005,0.037000000000000005,4.56,1.033,0.094,0.038,335,46,1388.3496882179193,10,6,0.006999999999999999
60,V99718,160,0.005,0.04,4.57,0.669,0.07200000000000001,0.038,342,48,1386.0,10,5,0.009000000000000001
61,V99717,166,0.005,0.040999999999999995,4.55,0.708,0.076,0.039,349,49,1388.0,10,7,0.009000000000000001
62,V99715,160,0.005,0.035,4.62,0.96,0.084,0.037000000000000005,319,46,1414.0,9,4,0.005
63,V99714,173,0.005,0.034,4.612,0.97,0.08800000000000001,0.04,313,45,1410.0,9,5,0.009000000000000001
64,V99712,169,0.005,0.032,4.55,0.987,0.09300000000000001,0.038,302,44,1408.0,9,5,0.005
65,V99711,164,0.005,0.039,4.54,0.715,0.083,0.04,343,48,1444.0,10,6,0.006999999999999999
66,V99710,171,0.005,0.032,4.52,1.198,0.106,0.038,270,38,1438.0,7,4,0.006
67,V99709,164,0.005,0.039,4.57,0.898,0.087,0.039,337,50,1432.0,10,5,0.005
68,V99706,161,0.005,0.033,4.52,0.898,0.08199999999999999,0.039,304,43,1381.0,9,4,0.005
69,V99704,176,0.005,0.034,4.52,0.621,0.069,0.039,317,44,1394.0,9,6,0.009000000000000001
70,V99703,172,0.005,0.037000000000000005,4.54,0.516,0.063,0.04,349,47,1398.0,10,5,0.009000000000000001
71,V99702,159,0.005,0.040999999999999995,4.56,0.54,0.062,0.037000000000000005,347,49,1413.0,9,4,0.009000000000000001
72,V99701,162,0.005,0.037000000000000005,4.56,0.9790000000000001,0.091,0.040999999999999995,331,47,1386.0,10,6,0.006999999999999999
73,V99699,163,0.005,0.043,4.54,0.667,0.064,0.038,357,51,1414.0,10,4,0.01
74,V99698,173,0.005,0.046,4.6,0.46399999999999997,0.054000000000000006,0.035,375,62,1346.0,11,8,0.006999999999999999
75,V99695,165,0.008,0.048,4.5,0.511,0.047,0.038,367,51,1405.0,11,6,0.017
76,V99694,173,0.008,0.048,4.6,0.507,0.057,0.042,364,53,1377.0,10,5,0.016
77,V99693,166,0.008,0.048,4.6,0.565,0.057999999999999996,0.039,364,51,1346.0,10,4,0.011000000000000001
78,V99692,166,0.008,0.049,4.58,0.49,0.052000000000000005,0.038,368,52,1395.0,11,6,0.013000000000000001
79,V99691,166,0.008,0.051,4.6,0.56,0.062,0.039,336,48,1377.0,10,5,0.017
80,V99689,160,0.008,0.042,4.62,0.628,0.068,0.04,336,47,1399.0,10,5,0.011000000000000001
81,V99688,166,0.008,0.044000000000000004,4.6,0.679,0.068,0.038,335,49,1411.0,10,5,0.011000000000000001
82,V99687,164,0.008,0.048,4.52,0.7290000000000001,0.071,0.04,365,51,1415.0,10,4,0.006
83,V99686,175,0.008,0.045,4.5,0.72,0.075,0.039,352,49,1409.0,10,5,0.008
84,V99685,160,0.008,0.048,4.53,0.7709999999999999,0.079,0.040999999999999995,362,51,1415.0,11,5,0.009000000000000001
85,V99684,165,0.008,0.046,4.57,0.84,0.084,0.040999999999999995,362,51,1425.0,10,4,0.008
86,V99683,165,0.008,0.047,4.56,0.708,0.073,0.04,369,51,1422.0,10,5,0.009000000000000001
87,V99682,163,0.008,0.05,4.5,0.56,0.064,0.038,362,53,1431.0,11,5,0.009000000000000001
88,V99681,164,0.008,0.038,4.55,0.875,0.085,0.038,310,48,1390.0,9,4,0.005
89,V99680,160,0.008,0.039,4.55,0.8340000000000001,0.08,0.038,329,45,1389.0,9,5,0.011000000000000001
90,V99679,169,0.01,0.045,4.55,0.537,0.061,0.038,622,0,1270.0,16,5,0.012
91,V99678,165,0.008,0.051,4.53,0.405,0.053,0.036000000000000004,363,51,1342.0,10,4,0.012
92,V99677,176,0.008,0.046,4.58,0.457,0.055999999999999994,0.039,366,52,1372.0,11,5,0.009000000000000001
93,V99676,159,0.008,0.045,4.56,0.521,0.063,0.04,341,49,1415.0,10,5,0.01
94,V99675,165,0.008,0.048,4.52,0.654,0.068,0.034,364,66,1400.0,10,6,0.005
95,V99673,163,0.008,0.048,4.54,0.49,0.062,0.038,365,51,1416.0,10,5,0.009000000000000001
96,V99671,160,0.008,0.038,4.57,0.6579999999999999,0.07400000000000001,0.04,323,45,1419.0,9,4,0.006999999999999999
97,V99670,176,0.008,0.048,4.59,0.552,0.057999999999999996,0.039,366,51,1388.3496882179193,10,5,0.013000000000000001
98,V99669,177,0.008,0.051,4.57,0.627,0.057,0.038,373,53,1404.0,9,6,0.013000000000000001
99,V99667,155,0.008,0.048,4.55,0.589,0.055999999999999994,0.037000000000000005,379,53,1360.0,10,5,0.012
100,V99666,168,0.008,0.052000000000000005,4.56,0.534,0.055,0.037000000000000005,376,54,1362.0,10,6,0.012
101,V99665,158,0.008,0.051,4.55,0.45399999999999996,0.055,0.037000000000000005,367,52,1368.0,10,5,0.011000000000000001
102,V99664,160,0.008,0.044000000000000004,4.58,0.46,0.057999999999999996,0.038,336,53,1388.3496882179193,9,5,0.017
103,V99662,158,0.008,0.040999999999999995,4.54,0.635,0.07,0.039,320,45,1408.0,9,4,0.006999999999999999
104,V99661,166,0.008,0.051,4.53,0.61,0.068,0.039,361,51,1332.0,10,5,0.01
105,V99660,159,0.008,0.05,4.52,0.72,0.067,0.037000000000000005,369,53,1336.0,10,6,0.011000000000000001
106,V99659,159,0.008,0.037000000000000005,4.53,0.636,0.075,0.039,319,44,1330.0,9,4,0.006
107,V99658,167,0.005,0.043,4.49,0.574,0.066,0.036000000000000004,354,49,1369.0,9,5,0.008
108,V99657,169,0.008,0.045,4.52,0.626,0.068,0.035,354,49,1360.0,10,5,0.011000000000000001
109,V99655,174,0.005,0.040999999999999995,4.53,0.504,0.057999999999999996,0.038,340,49,1376.0,9,6,0.01
110,V99653,160,0.008,0.051,4.55,0.44,0.054000000000000006,0.038,379,55,1391.0,11,5,0.013999999999999999
111,V99652,163,0.005,0.049,4.52,0.634,0.062,0.039,391,57,1390.0,10,7,0.011000000000000001
112,V99651,171,0.008,0.037000000000000005,4.55,0.91,0.08900000000000001,0.040999999999999995,321,45,1364.0,9,5,0.004
113,V99648,161,0.008,0.036000000000000004,4.54,0.634,0.069,0.038,315,43,1401.0,9,4,0.01
114,V99647,165,0.008,0.055,4.53,0.46,0.049,0.038,419,56,1361.0,11,7,0.015
115,V99644,160,0.008,0.048,4.58,0.579,0.053,0.036000000000000004,369,52,1411.0,9,7,0.016
116,V99641,163,0.008,0.04,4.57,0.568,0.07,0.04,341,48,1388.0,9,6,0.01
117,V99639,158,0.008,0.049,4.53,0.541,0.063,0.039,372,53,1379.0,10,6,0.008
118,V99638,155,0.008,0.05,4.55,0.42700000000000005,0.054000000000000006,0.036000000000000004,380,53,1359.0,10,6,0.012
119,V99637,171,0.008,0.05,4.52,0.52,0.054000000000000006,0.036000000000000004,383,54,1316.0,11,5,0.011000000000000001
120,V99636,161,0.008,0.048,4.54,0.5770000000000001,0.053,0.035,375,52,1317.0,11,5,0.01
121,V99634,173,0.008,0.055,4.52,0.599,0.06,0.036000000000000004,406,57,1401.0,11,5,0.011000000000000001
122,V99633,161,0.008,0.045,4.54,0.867,0.079,0.036000000000000004,409,52,1309.0,13,5,0.002
123,V99630,153,0.008,0.052000000000000005,4.45,0.483,0.053,0.035,383,55,1405.0,11,5,0.011000000000000001
124,V99629,162,0.008,0.067,4.56,0.684,0.055999999999999994,0.035,437,62,1392.0,11,8,0.011000000000000001
125,V99627,163,0.008,0.04,4.55,0.6579999999999999,0.07200000000000001,0.039,342,48,1392.0,10,5,0.009000000000000001
126,V99626,167,0.008,0.043,4.5,0.68,0.068,0.039,324,57,1410.0,9,7,0.011000000000000001
127,V99624,157,0.008,0.055,4.54,0.371,0.043,0.036000000000000004,399,57,1388.3496882179193,11,6,0.01
128,V99623,162,0.008,0.069,4.49,0.308,0.03,0.032,511,72,1352.0,13,9,0.011000000000000001
129,V99621,174,0.008,0.027999999999999997,4.58,0.955,0.095,0.040999999999999995,291,42,1392.0,8,4,0.006
130,V99620,170,0.008,0.033,4.56,0.956,0.081,0.04,299,41,1396.0,7,5,0.012
131,V99618,163,0.008,0.051,4.37,0.478,0.049,0.036000000000000004,378,53,1391.0,10,6,0.013999999999999999
132,V99615,165,0.008,0.045,4.58,0.531,0.053,0.037000000000000005,410,65,1379.0,12,6,0.008
133,V99613,173,0.008,0.073,4.57,0.364,0.028999999999999998,0.034,443,63,1363.0,12,6,0.02
134,V99611,171,0.008,0.021,4.58,1.05,0.10300000000000001,0.043,236,33,1402.0,6,4,0.006999999999999999
135,V99609,161,0.008,0.055999999999999994,4.36,0.428,0.054000000000000006,0.038,401,57,1350.0,12,6,0.006
136,V99607,174,0.008,0.038,4.56,0.629,0.071,0.039,310,45,1371.0,9,5,0.009000000000000001
137,V99604,167,0.008,0.042,4.6,0.7020000000000001,0.07200000000000001,0.04,354,49,1388.3496882179193,10,5,0.005
138,V99603,167,0.008,0.043,4.56,0.447,0.055,0.039,332,47,1388.3496882179193,9,6,0.017
139,V99602,161,0.008,0.048,4.5,0.59,0.052000000000000005,0.039,370,52,1388.3496882179193,11,5,0.01
140,V99600,168,0.008,0.037000000000000005,4.55,0.583,0.071,0.039,330,46,1370.0,9,6,0.012
141,V99598,166,0.008,0.042,4.58,0.5670000000000001,0.064,0.040999999999999995,360,51,1354.0,10,5,0.009000000000000001
142,V99597,170,0.008,0.044000000000000004,4.6,0.52,0.062,0.04,366,51,1374.0,10,7,0.009000000000000001
143,V99596,168,0.008,0.04,4.57,0.565,0.064,0.037000000000000005,321,45,1372.0,9,5,0.01
144,V99595,165,0.008,0.051,4.42,0.516,0.057999999999999996,0.037000000000000005,391,60,1408.0,11,6,0.006999999999999999
145,V99592,168,0.008,0.046,4.5,0.608,0.066,0.038,345,51,1304.0,11,5,0.006
146,V99593,164,0.008,0.040999999999999995,4.52,0.5670000000000001,0.063,0.038,364,49,1306.0,10,5,0.006
147,V99590,165,0.008,0.048,4.5,0.63,0.073,0.037000000000000005,379,52,1324.0,10,5,0.006
148,V99589,159,0.008,0.046,4.54,0.8009999999999999,0.083,0.037000000000000005,346,51,1323.0,10,5,0.003
149,V99588,165,0.008,0.039,4.6,0.569,0.066,0.038,343,48,1320.0,9,6,0.006
150,V99587,160,0.008,0.039,4.59,0.703,0.077,0.04,341,48,1388.3496882179193,10,4,0.005
151,V99586,164,0.008,0.035,4.58,0.782,0.08,0.039,298,43,1388.3496882179193,9,4,0.009000000000000001
152,V99584,161,0.008,0.057999999999999996,4.5,0.41100000000000003,0.051,0.038,414,60,1380.0,11,5,0.009000000000000001
153,V99583,159,0.008,0.047,4.56,0.44,0.05,0.039,349,51,1415.0,10,4,0.01
154,V99582,160,0.008,0.046,4.54,0.49,0.061,0.037000000000000005,345,49,1373.0,10,6,0.012
155,V99581,163,0.008,0.044000000000000004,4.56,0.55,0.064,0.038,341,47,1386.0,9,4,0.01
156,V99580,160,0.008,0.042,4.61,0.47,0.061,0.039,331,48,1417.0,10,4,0.012
157,V99579,160,0.008,0.038,4.58,0.59,0.069,0.04,310,44,1402.0,7,5,0.01
158,V99577,171,0.008,0.031,4.67,0.84,0.087,0.042,297,42,1382.0,8,3,0.005
159,V99575,162,0.008,0.033,4.56,0.78,0.083,0.04,302,43,1406.0,8,4,0.009000000000000001
160,V99574,160,0.008,0.03,4.55,0.8270000000000001,0.086,0.04,288,42,1440.0,8,4,0.006
161,V99572,164,0.008,0.027000000000000003,4.55,1.021,0.10300000000000001,0.043,288,42,1389.0,8,4,0.003
162,V99571,163,0.008,0.03,4.73,0.83,0.09,0.040999999999999995,297,41,1373.0,8,4,0.006
163,V99567,169,0.008,0.046,4.54,0.608,0.066,0.04,356,52,1442.0,10,5,0.01
164,V99566,171,0.008,0.04,4.58,0.594,0.07,0.040999999999999995,338,47,1413.0,8,5,0.009000000000000001
165,V99565,160,0.008,0.035,4.59,0.7290000000000001,0.077,0.04,306,49,1411.0,9,5,0.009000000000000001
166,V99564,167,0.008,0.037000000000000005,4.52,0.725,0.079,0.039,315,45,1396.0,9,5,0.006999999999999999
167,V99563,165,0.008,0.037000000000000005,4.57,0.687,0.078,0.039,326,44,1391.0,8,5,0.008
168,V99561,170,0.008,0.040999999999999995,4.54,0.578,0.067,0.038,487,36,1390.0,19,4,0.008
169,V99556,171,0.005,0.042,4.53,0.5920000000000001,0.065,0.039,379,54,1366.0,9,6,0.01
170,V99555,168,0.008,0.031,4.67,0.87,0.08800000000000001,0.04,299,43,1378.0,8,4,0.005
171,V99554,163,0.005,0.026000000000000002,4.56,1.001,0.09699999999999999,0.042,273,38,1393.0,9,4,0.006
172,V99553,161,0.005,0.032,4.56,0.7240000000000001,0.07400000000000001,0.039,515,43,1416.0,10,5,0.006
173,V99552,162,0.005,0.039,4.56,0.523,0.064,0.037000000000000005,339,49,1423.0,9,5,0.009000000000000001
174,V99551,177,0.005,0.045,4.56,0.42700000000000005,0.057999999999999996,0.037000000000000005,367,52,1431.0,10,6,0.009000000000000001
175,V99550,171,0.005,0.045,4.52,0.489,0.059000000000000004,0.037000000000000005,373,52,1416.0,10,5,0.01
176,V99549,167,0.005,0.043,4.55,0.528,0.065,0.038,357,51,1402.0,10,5,0.005
177,V99548,155,0.005,0.035,4.49,0.667,0.08,0.039,320,47,1380.0,9,3,0.006999999999999999
178,V99547,157,0.005,0.040999999999999995,4.55,0.611,0.073,0.038,404,49,1391.0,10,5,0.008
179,V99544,162,0.005,0.039,4.55,0.6940000000000001,0.079,0.039,369,52,1418.0,10,5,0.006
180,V99543,159,0.005,0.044000000000000004,4.52,0.541,0.065,0.036000000000000004,365,52,1433.0,10,5,0.008
181,V99542,164,0.005,0.045,4.55,0.591,0.071,0.04,366,52,1384.0,10,5,0.004
182,V99541,163,0.005,0.036000000000000004,4.55,0.851,0.08900000000000001,0.040999999999999995,322,45,1396.0,9,4,0.004
183,V99540,163,0.005,0.035,4.53,0.86,0.09,0.042,332,48,1416.0,9,5,0.004
184,V99539,179,0.005,0.032,4.56,0.725,0.078,0.04,310,45,1430.0,9,4,0.008
185,V99538,165,0.005,0.028999999999999998,4.5,0.7190000000000001,0.081,0.039,286,45,1391.0,8,4,0.006
186,V99537,167,0.005,0.03,4.56,0.852,0.094,0.040999999999999995,302,43,1392.0,8,4,0.004
187,V99536,171,0.005,0.03,4.58,0.745,0.083,0.04,297,42,1394.0,8,4,0.005
188,V99534,164,0.005,0.035,4.5,0.757,0.084,0.038,326,45,1411.0,9,4,0.006
189,V99533,164,0.005,0.032,4.55,0.8640000000000001,0.09300000000000001,0.04,328,46,1436.0,9,5,0.008
190,V99531,167,0.005,0.036000000000000004,4.55,0.66,0.081,0.039,330,45,1376.0,9,4,0.005
191,V99530,153,0.005,0.035,4.57,0.777,0.083,0.040999999999999995,321,46,1376.0,8,5,0.006
192,V99528,164,0.005,0.034,4.58,0.71,0.086,0.043,320,44,1381.0,9,4,0.006
193,V99526,163,0.005,0.045,4.54,0.462,0.061,0.037000000000000005,381,54,1388.3496882179193,11,5,0.008
194,V99522,164,0.005,0.033,4.6,0.5,0.066,0.036000000000000004,320,57,1418.0,9,5,0.006
195,V99520,162,0.003,0.033,4.6,0.588,0.07400000000000001,0.038,345,49,1403.0,9,5,0.005
196,V99519,157,0.003,0.048,4.54,0.473,0.064,0.036000000000000004,420,72,1378.0,12,8,0.005
197,V99517,162,0.003,0.048,4.57,0.519,0.064,0.038,430,62,1411.0,12,6,0.005
198,V99515,156,0.003,0.05,4.55,0.531,0.065,0.035,420,60,1391.0,12,6,0.006999999999999999
199,V99513,160,0.003,0.034,4.63,0.7170000000000001,0.077,0.037000000000000005,344,58,1445.0,9,3,0.008
200,V99512,170,0.003,0.032,4.58,0.5,0.067,0.039,339,54,1360.0,9,5,0.004
201,V99511,168,0.003,0.034,4.6,0.6409999999999999,0.075,0.039,344,49,1373.0,9,5,0.004
202,V99510,163,0.003,0.033,4.62,0.94,0.098,0.043,326,45,1416.0,9,5,0.003
203,V99509,172,0.003,0.034,4.6,0.856,0.08800000000000001,0.036000000000000004,354,61,1405.0,10,6,0.001
204,V99508,170,0.003,0.035,4.55,0.843,0.085,0.035,350,49,1394.0,10,5,0.004
205,V99507,164,0.003,0.03,4.58,0.644,0.079,0.038,325,46,1351.0,9,5,0.003
206,V99505,168,0.005,0.035,4.55,0.502,0.065,0.039,320,57,1433.0,9,6,0.006
207,V99503,162,0.005,0.034,4.51,0.523,0.069,0.040999999999999995,301,48,1377.0,8,5,0.006
208,V99502,160,0.005,0.043,4.6,0.5,0.057999999999999996,0.038,343,62,1364.0,10,6,0.005
209,V99501,164,0.005,0.033,4.55,0.607,0.075,0.040999999999999995,309,44,1385.0,9,5,0.009000000000000001
210,V99499,162,0.005,0.035,4.57,0.654,0.075,0.044000000000000004,309,55,1422.0,9,6,0.005
211,V99498,160,0.005,0.033,4.55,0.63,0.073,0.043,360,71,1425.0,10,5,0.004
212,V99496,164,0.005,0.034,4.55,0.659,0.073,0.04,319,45,1436.0,9,5,0.008
213,V99493,161,0.005,0.033,4.55,0.693,0.076,0.042,310,48,1410.0,9,5,0.006
214,V99492,168,0.005,0.036000000000000004,4.56,0.7140000000000001,0.078,0.042,331,47,1382.0,8,4,0.01
215,V99491,179,0.005,0.037000000000000005,4.55,0.698,0.07400000000000001,0.040999999999999995,337,46,1373.0,9,5,0.008
216,V99490,164,0.005,0.042,4.55,0.517,0.06,0.042,354,51,1376.0,10,5,0.009000000000000001
217,V99489,175,0.005,0.045,4.61,0.49200000000000005,0.055,0.039,373,53,1388.3496882179193,9,5,0.011000000000000001
218,V99488,156,0.005,0.045,4.56,0.561,0.065,0.042,367,53,1334.0,10,5,0.006
219,V99487,167,0.005,0.027000000000000003,4.72,0.81,0.09300000000000001,0.047,283,39,1337.0,8,4,0.004
220,V99485,170,0.005,0.037000000000000005,4.63,0.64,0.068,0.040999999999999995,328,46,1367.0,9,5,0.006
221,V99484,164,0.005,0.044000000000000004,4.55,0.54,0.061,0.042,361,51,1330.0,10,5,0.008
222,V99483,166,0.005,0.033,4.55,0.693,0.076,0.042,346,49,1347.0,9,5,0.006
223,V99482,165,0.005,0.034,4.66,0.65,0.073,0.044000000000000004,367,53,1388.3496882179193,10,6,0.006
224,V99481,170,0.005,0.039,4.58,0.67,0.07,0.042,339,48,1388.3496882179193,9,5,0.01
225,V99480,160,0.005,0.038,4.56,0.66,0.067,0.042,341,47,1414.0,8,5,0.011000000000000001
226,V99479,172,0.005,0.043,4.57,0.75,0.076,0.040999999999999995,367,54,1408.0,10,5,0.008
227,V99478,167,0.005,0.035,4.55,0.833,0.08,0.042,320,51,1388.3496882179193,9,5,0.006
228,V99477,164,0.005,0.037000000000000005,4.61,0.77,0.078,0.040999999999999995,336,46,1392.0,8,5,0.009000000000000001
229,V99476,170,0.005,0.036000000000000004,4.63,0.75,0.076,0.040999999999999995,320,46,1407.0,9,4,0.006
230,V99475,170,0.005,0.036000000000000004,4.58,0.56,0.066,0.043,331,46,1404.0,8,5,0.008
231,V99474,161,0.005,0.040999999999999995,4.59,0.63,0.067,0.042,366,52,1366.0,10,6,0.008
232,V99472,162,0.005,0.045,4.59,0.628,0.066,0.044000000000000004,375,52,1388.3496882179193,9,5,0.008
233,V99471,173,0.005,0.043,4.56,0.655,0.069,0.040999999999999995,332,47,1409.0,9,5,0.01
234,V99470,157,0.005,0.05,4.58,0.7659999999999999,0.055,0.043,392,55,1431.0,11,5,0.008
235,V99469,159,0.005,0.047,4.57,0.654,0.06,0.042,381,53,1419.0,10,6,0.008
236,V99468,164,0.005,0.034,4.63,0.91,0.087,0.040999999999999995,309,44,1397.0,9,5,0.005
237,V99467,163,0.005,0.045,4.55,0.515,0.062,0.043,367,51,1435.0,10,5,0.01
238,V99466,160,0.005,0.044000000000000004,4.52,0.496,0.06,0.043,331,52,1412.0,9,5,0.013000000000000001
239,V99465,170,0.005,0.05,4.57,0.735,0.077,0.042,362,60,1372.0,10,6,0.006999999999999999
240,V99464,161,0.005,0.026000000000000002,4.54,0.91,0.091,0.045,284,41,1432.0,8,4,0.005
241,V99463,161,0.005,0.027999999999999997,4.57,1.063,0.08800000000000001,0.046,306,49,1402.0,8,5,0.006
242,V99462,164,0.005,0.037000000000000005,4.52,0.733,0.079,0.047,331,46,1355.0,8,5,0.006999999999999999
243,V99461,162,0.005,0.034,4.54,0.841,0.087,0.046,322,49,1363.0,9,5,0.006
244,V99460,164,0.005,0.025,4.6,0.9590000000000001,0.09699999999999999,0.04,247,35,1389.0,6,3,0.006
245,V99459,160,0.01,0.043,4.57,0.838,0.07200000000000001,0.045,327,51,1312.0,9,5,0.005
246,V99458,165,0.005,0.052000000000000005,4.55,0.624,0.055,0.044000000000000004,417,61,1383.0,12,6,0.005
247,V99455,171,0.005,0.049,4.55,0.586,0.063,0.042,386,55,1409.0,11,6,0.012
248,V99453,178,0.005,0.055,4.54,0.715,0.068,0.038,433,59,1403.0,12,6,0.008
